"";"TCGA.DZ.6132";"TCGA.BQ.7055";"TCGA.BQ.5877";"TCGA.GL.A9DE";"TCGA.P4.A5E8";"TCGA.Y8.A8RY";"TCGA.BQ.7051";"TCGA.BQ.5878";"TCGA.GL.A59R";"TCGA.DZ.6133";"TCGA.BQ.5882";"TCGA.A4.A4ZT";"TCGA.BQ.5879";"TCGA.B9.4115";"TCGA.BQ.7059";"TCGA.BQ.7045";"TCGA.BQ.5875";"TCGA.BQ.5888";"TCGA.BQ.5887";"TCGA.BQ.7061";"TCGA.DZ.6131";"TCGA.GL.6846";"TCGA.DZ.6134";"TCGA.BQ.5894";"TCGA.BQ.5890";"TCGA.BQ.5884";"TCGA.BQ.7046";"TCGA.P4.A5ED";"TCGA.BQ.7044";"TCGA.A4.A57E";"TCGA.BQ.5891";"TCGA.GL.7966"
"TCGA.BQ.5882";0,653206860675274;0,775537969634492;0,831710383909688;0,634114368359664;0,663101004161792;0,743872530584114;0,663672036344298;0,743409270721891;0,655590772425642;0,678170494049155;0;0,710347034504799;0,313112328406849;0,711826277509739;0,522030509534976;0,432629561813476;0,713364856782979;0,371836744005413;0,224221320788433;0,718439287555789;0,705427432967634;0,725404217017286;0,739065186151963;0,498765226347266;0,655992962594726;0,666171376083054;0,600325419546181;0,625959413659462;0,687152278421238;0,748151346373367;0,779581955216673;0,794397794347019
"TCGA.A4.A4ZT";0,676423679447529;0,649443848793574;0,72349141268732;0,65264927581398;0,536548606059438;0,866058089567215;0,712469536572002;0,710230772359984;0,794485574668476;0,838010957184222;0,710347034504799;0;0,315287530572141;0,877516740439332;0,519114013237547;0,436792580086794;0,675462230230193;0,376409382535791;0,163182467443012;0,714607039718443;0,617192745203615;0,846869804221589;0,731627634179218;0,477091491669923;0,620301723183669;0,667576648716787;0,63635741259158;0,561614166081459;0,726185184885201;0,669555939829539;0,803373108902028;0,669490608913749
"TCGA.BQ.5879";0,344845534960249;0,266827219346068;0,352030596523727;0,202171383716562;0,421263633604964;0,310443674522997;0,255425324017047;0,293043543352211;0,405078832775885;0,368760075276039;0,313112328406849;0,315287530572141;0;0,294216237928403;0,229744052952448;0,376821091667646;0,490708392844651;0,604534869949169;0;0,315296359524314;0,224066434620263;0,407729267317902;0,288459842103744;0,678710401656403;0,250450248916977;0,201759562367849;0,337742710835795;0,421452722066058;0,424764972006857;0,251100611397113;0,350103456908421;0,372269101642842
"TCGA.B9.4115";0,691092106395251;0,654201433924489;0,709360340670801;0,644446424744778;0,543272596029381;0,875208617389003;0,702251338513844;0,699123272767334;0,780561461401856;0,788837768554204;0,711826277509739;0,877516740439332;0,294216237928403;0;0,543030820266286;0,457562335860716;0,669033680204722;0,385512215781004;0,203418527729139;0,707019225279655;0,64779842619232;0,796461059343947;0,749868559657383;0,478310440696397;0,651860761462493;0,668390976722087;0,659677373870223;0,590139350862025;0,724802376938491;0,726873416554455;0,774944024666352;0,674133848254442
"TCGA.BQ.7059";0,72788347446011;0,586871499354654;0,465327933465392;0,477743757902533;0,407331473373343;0,614408410077156;0,501532225828367;0,439023728748053;0,521484908357557;0,481115929366591;0,522030509534976;0,519114013237547;0,229744052952448;0,543030820266286;0;0,65463600578359;0,57020776750566;0,394883849233266;0,576715208952776;0,52129563791798;0,685866666974514;0,468122686240321;0,738903447566669;0,364816892572244;0,540086901030756;0,603046709386338;0,798532984403125;0,59998857323897;0,591682451967537;0,552329004574699;0,541857899637488;0,419962901102231
"TCGA.BQ.7045";0,562214548501898;0,442024808035799;0,404356769920567;0,374232991502287;0,421376627790732;0,502112688784156;0,420505140519346;0,386442453563662;0,491008576779122;0,442671602373766;0,432629561813476;0,436792580086794;0,376821091667646;0,457562335860716;0,65463600578359;0;0,57677164206281;0,514754787150423;0,480330218285548;0,445830129299298;0,521906745786206;0,434423442240164;0,580695795931064;0,461101038729265;0,465058727789267;0,450849345367224;0,684269309413279;0,566251344411089;0,582826430518339;0,459809310681002;0,457241205919482;0,412430530853539
"TCGA.BQ.5875";0,659971784069582;0,689640835383522;0,713369745667396;0,609790212624981;0,605612357773247;0,717111001671398;0,648209021436097;0,65360438829446;0,706183176445763;0,711414033683834;0,713364856782979;0,675462230230193;0,490708392844651;0,669033680204722;0,57020776750566;0,57677164206281;0;0,590857317139472;0,258028086851232;0,714174516288376;0,643783230547735;0,715181387590235;0,714015881878975;0,668320252204077;0,622533499938056;0,619723562540204;0,682210170114782;0,718534344054027;0,810432047601671;0,659416872380351;0,70537110488181;0,699502828381741
"TCGA.BQ.5888";0,457564780475024;0,357086042468494;0,389066712940565;0,270257413030142;0,437981470959957;0,416023690886854;0,307916566752337;0,31361774376369;0,492295322948242;0,422119737464844;0,371836744005413;0,376409382535791;0,604534869949169;0,385512215781004;0,394883849233266;0,514754787150423;0,590857317139472;0;0,188916579831289;0,372528738305063;0,362512065668129;0,434866653100793;0,398945426292016;0,69517136739275;0,330978574340658;0,293088440199483;0,484055902253326;0,594203717648636;0,508161133637792;0,358597314644218;0,385865435720957;0,40360332672165
"TCGA.BQ.5887";0,370128253243292;0,295176975039786;0,131573562972549;0,164786052693998;0,166009169870626;0,261400774556333;0,175221555420041;0,130323273526958;0,187328919485866;0,134017385791472;0,224221320788433;0,163182467443012;0;0,203418527729139;0,576715208952776;0,480330218285548;0,258028086851232;0,188916579831289;0;0,198723540906249;0,42648922231787;0,125915311496331;0,389861178561127;0,104881885499757;0,2545081352019;0,298038495180539;0,47099767934771;0,314359659077778;0,269795174869437;0,273057041008317;0,201876064179949;0,121445645964062
"TCGA.BQ.7061";0,610055524171295;0,668168127827907;0,700562852639149;0,855350215618156;0,538860581587543;0,719639391086987;0,838160006437435;0,674105091415877;0,664867495559875;0,750953392992606;0,718439287555789;0,714607039718443;0,315296359524314;0,707019225279655;0,52129563791798;0,445830129299298;0,714174516288376;0,372528738305063;0,198723540906249;0;0,701954398276378;0,678577537487757;0,73156352733312;0,483041260870431;0,770209516248348;0,78665864063605;0,624422730334973;0,578770777518528;0,784845303778476;0,687789838833635;0,717205852124489;0,640414358623096
